HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6894.244765, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6895.378717, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6896.512668, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6897.646620, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6898.780571, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6899.914523, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6901.048474, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6902.182426, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6903.316377, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6904.450329, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6905.584280, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6906.718231, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6907.852183, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6908.986134, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6910.120086, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6911.254037, 725.790862
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6912.387989, 725.790863
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6913.521940, 725.790863
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6914.655892, 725.790863
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6915.789843, 725.790863
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6916.923795, 725.790863
HS[243.703482], V, HS[261.876431], BB[220.210949], DSHS[243.403585], DSV, DSHS[261.805361], DSBB[220.196707], 6918.057746, 725.790863
